seed,model,dropped_feature,dropped_idx,cos_vs_full_5dim_subset,significantly_misaligned,w_norm_5dim_subset,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza,w_anti_pobreza
8,claude,anti_desviacion_inflacion,4,0.9998631330350255,True,1.4524015228422664,-0.010109147518290434,0.45309312104406924,-0.04477926128759316,,-0.03992134736953262,1.3785774247884197
8,claude,pro_confianza,5,0.999735277336496,True,1.4603864202462358,-0.032838361207649894,0.4463374903995164,-0.05029541541614199,0.11517055943965478,,1.384427353299243
8,openai,NONE,-1,,True,2.388358857326677,,,,,,
8,openai,anti_pobreza,0,0.9629197205621195,True,0.31333971628419627,-0.04815880526359156,-0.08458668680567391,0.28439923315099996,-0.051603869245496925,0.07184508719390453,
8,openai,anti_deuda,1,0.9998904750552666,True,2.386287167264819,,-0.04220783915121719,0.14262220268979134,-0.03609114123498349,0.048916741656642164,2.380871359854813
8,openai,pro_aprobacion,2,0.9999572130644306,True,2.346029810515891,-0.020323093385082466,,0.12480698742965164,-0.0414592591359965,0.04725430727727927,2.3417758688373365
8,openai,pro_crecimiento,3,0.9999863379921862,True,2.3797362549044205,-0.009303479963190668,-0.06264633910985815,,-0.05102933930737219,0.04679257801935211,2.3778856123740226
8,openai,anti_desviacion_inflacion,4,0.9999626313953148,True,2.3915414890334175,-0.017492319417508312,-0.055187708273691884,0.13333184820778082,,0.05187836956905634,2.386556155301908
8,openai,pro_confianza,5,0.9999293232844771,True,2.369342525050483,-0.02334459475225625,-0.03847816828639877,0.1286427237668285,-0.04602598676501755,,2.3649716953143294
9,claude,NONE,-1,,True,1.5420796121682687,,,,,,
9,claude,anti_pobreza,0,0.8942238183899391,True,0.21262764015141608,-0.016993734513325174,0.025039220388982007,0.0937780891733704,0.1813467316886537,0.0511253037428388,
9,claude,anti_deuda,1,0.9998872761178149,True,1.5361078899524359,,0.09530514780487157,0.017442412304301966,0.170589739323989,0.015478287000210542,1.523449934883958
9,claude,pro_aprobacion,2,0.9997185360828419,True,1.5172404919240798,0.002129201148241569,,0.018443332130743388,0.15568365884107113,0.00016798989790670375,1.5091178186230723
9,claude,pro_crecimiento,3,0.9997501658319642,True,1.544005779926483,0.0021879940566756724,0.08068425383906787,,0.15273788352606454,0.01475960548455798,1.5342400090249069
9,claude,anti_desviacion_inflacion,4,0.9995429082664983,True,1.5537666722128007,9.082790862033529e-05,0.07013417089556104,0.014241793551096891,,-0.021061852706449523,1.5519747521075669
9,claude,pro_confianza,5,0.9997312772647589,True,1.542152324017755,-0.026354957295568002,0.06515532926036281,0.021719550107346393,0.15704330434401678,,1.5323705986060072
9,openai,NONE,-1,,True,2.128958415143292,,,,,,
9,openai,anti_pobreza,0,0.892382137028753,True,0.3490757568694809,0.03874161636443387,0.21954646944820752,0.25598236082526826,0.01353233358408035,0.08026347763703348,
9,openai,anti_deuda,1,0.9999496274730737,True,2.127837258464208,,0.30307930234003266,0.14463514490335203,0.017142920338594936,0.033370998163786005,2.100834954636884
9,openai,pro_aprobacion,2,0.9998596267846236,True,2.0799201303620714,0.05793415656729458,,0.11752250034043286,0.003408892892509885,0.016816365300612028,2.075718052484313
9,openai,pro_crecimiento,3,0.9999505738826158,True,2.1133327399393282,0.052358870175801306,0.29338640254367954,,0.013124912282855158,0.03143435727466748,2.0919363888694504
9,openai,anti_desviacion_inflacion,4,0.9999575214667417,True,2.1250809451642145,0.053691419710292045,0.31726883302703096,0.12347224622982692,,0.029086475349744657,2.096743981486982
