N,k,converged,cos_to_true,cos_err,l2_err_direction,w_norm,error
50,154,True,0.8948140520138421,0.10518594798615788,0.45866316177813476,1.0416726854296952,
50,155,True,0.9541588749473444,0.045841125052655585,0.3027907695180142,1.528213628602954,
50,156,True,0.9295698690196543,0.07043013098034567,0.37531355152817397,1.3192800815547636,
50,157,True,0.9786296741423619,0.021370325857638095,0.20673812351686863,1.0059012266211513,
50,158,True,0.9372118317551604,0.06278816824483957,0.3543675161321637,1.1703666043487038,
50,159,True,0.9848618466260372,0.015138153373962848,0.17400088145732337,1.5347076829952677,
50,160,True,0.907798490993645,0.09220150900635504,0.4294217251289342,1.3991392055271146,
50,161,True,0.9090574773559923,0.0909425226440077,0.42647982987242866,1.012688700170912,
50,162,True,0.9634802574122789,0.03651974258772106,0.2702581824393894,1.2234776826321425,
50,163,True,0.94495941771041,0.05504058228958997,0.3317848166796969,1.336929208546935,
50,164,True,0.9810118731949319,0.018988126805068117,0.19487496917289412,1.1998361431227265,
50,165,True,0.907187452927656,0.09281254707234399,0.4308423077469154,1.0550174592149872,
50,166,True,0.9825108727363712,0.017489127263628834,0.18702474308833508,1.0739533109465353,
50,167,True,0.9559287640790619,0.04407123592093809,0.2968879786078854,0.7439151651714345,
50,168,True,0.9871103864096338,0.012889613590366222,0.16055910805909623,1.1633390753323514,
50,169,True,0.9675391682976442,0.03246083170235581,0.25479729866054535,1.2085873282256554,
50,170,True,0.8432762326909089,0.1567237673090911,0.5598638536449573,0.644644513511302,
50,171,True,0.9788028679988282,0.021197132001171792,0.2058986741150695,1.1226031444389877,
50,172,True,0.9530641350954012,0.04693586490459878,0.306384937307952,1.0713610894924421,
50,173,True,0.9300148925069602,0.06998510749303977,0.37412593466115024,1.2832711587046046,
50,174,True,0.9057804873150335,0.09421951268496653,0.43409564080964136,1.806755944574911,
50,175,True,0.9659976802630418,0.03400231973695822,0.26077699184152814,0.9528069998568497,
50,176,True,0.9691963638607636,0.030803636139236423,0.24820812290993424,0.9777582126258834,
50,177,True,0.9666169934420007,0.033383006557999306,0.2583912017000552,1.1858887025235159,
50,178,True,0.9208549387195643,0.07914506128043575,0.3978569121692771,1.3375206091975245,
50,179,True,0.9382372449015909,0.06176275509840912,0.35146196123736895,1.0627067919900703,
50,180,True,0.9792555006678646,0.020744499332135402,0.2036884843683388,1.5212679060780259,
50,181,True,0.924397093921745,0.07560290607825504,0.3888519154594849,1.4124838220022928,
50,182,True,0.9250953643950712,0.07490463560492877,0.3870520264897957,1.089534575653757,
50,183,True,0.9952671111327771,0.004732888867222895,0.09729222854085591,1.1031534671157903,
50,184,True,0.9712450881170311,0.02875491188296886,0.2398120592587824,1.329040667891496,
50,185,True,0.8494680846755857,0.15053191532441434,0.548692838160686,1.324272872068229,
50,186,True,0.9028059657553795,0.09719403424462048,0.44089462288537973,0.8560650454518696,
50,187,True,0.925300138871073,0.07469986112892701,0.386522602518733,1.331574026902253,
50,188,True,0.8886272809418845,0.11137271905811552,0.4719591487790348,0.8232467291838251,
50,189,True,0.985345647014879,0.014654352985120966,0.17119785620807845,0.956790276390543,
50,190,True,0.9313407918423565,0.06865920815764348,0.37056499607395027,1.515852922791195,
