N,replication,rmse,cosine_similarity,angle_degrees,norm_ratio,log_likelihood_at_w_hat
500,3,0.039905618945188535,0.9992142435905004,2.2714858614696927,1.0010027031540003,-390.1610619949015
500,4,0.06635106747249186,0.9985356147123787,3.101118207267734,1.0362856906847577,-365.38224170517844
500,5,0.0641765914851636,0.9983668425136892,3.274996098075856,1.0267832200471476,-376.1580788961398
500,6,0.08149985317154397,0.9969126732041632,4.503402128747933,0.9769000502025925,-389.847455255844
500,7,0.10047713539172023,0.9979746868662172,3.647178722280092,0.9209506256399176,-409.45001993194467
500,8,0.06741297291021711,0.9990343810807142,2.518114457415362,0.9484201967832901,-406.62265015043437
500,9,0.07985974852991075,0.998576390082007,3.0576281520503192,1.0573882870069915,-352.56398488807383
1000,0,0.05086097593614877,0.9987239217211012,2.894826115941906,0.996178545249871,-772.1347824378404
1000,1,0.04093807023611201,0.9997904874991622,1.1728708251381716,0.9646106992013906,-804.8870450333502
1000,2,0.04862689875609541,0.9994613268500795,1.8807011571531527,1.034961334925269,-747.0062367501902
1000,3,0.07631572284609309,0.9989959747669166,2.567711863274734,1.060232263224674,-735.278702986137
1000,4,0.03844803214294605,0.9993766404103122,2.02315667146861,1.0140351940846553,-763.9517573961379
1000,5,0.07107823068417274,0.9989905685880099,2.5746166716078682,1.0535433813813873,-745.7485249498677
1000,6,0.041723249425737595,0.9991637202926794,2.3433851859620964,1.006156146731512,-765.313283099817
1000,7,0.04834555531606326,0.9988534904820096,2.743898010283444,1.0031702270544829,-777.5639285283014
1000,8,0.03646647078347083,0.9993577979144168,2.053509568658451,0.9938372650242104,-767.7954505446907
1000,9,0.06315298339134304,0.9996095448542924,1.601169606196845,0.943381901225763,-804.6587045273262
2000,0,0.0753198455321133,0.9998462494105889,1.0047351348594284,1.0726485772068963,-1468.0604816374898
2000,1,0.0368997014051243,0.9994127970352735,1.9635999118154241,0.9863045996466792,-1550.3290398725394
2000,2,0.044253951001686484,0.9996694803768909,1.4731542305802718,0.9639637732447491,-1607.6533655142275
2000,3,0.04045263920939393,0.9994890978309108,1.8315762162473908,1.0239022366588613,-1511.8529705921044
2000,4,0.06552576455699788,0.9988504929823022,2.7474832570081356,1.042968726414914,-1505.234262341032
2000,5,0.04717863525485097,0.9991143993292839,2.4115077101294276,1.019844524628028,-1502.0194333402524
2000,6,0.03734760728286947,0.9995547266543303,1.7098857616650374,0.9774547304151286,-1577.8557441586286
2000,7,0.07452786397690402,0.9993476607540268,2.069655184167025,1.0640477032449498,-1467.2528109858488
2000,8,0.06026016611449346,0.9997291166857609,1.333639842309848,1.0549352567966561,-1489.081221120334
2000,9,0.022460401234247737,0.9997506458032493,1.2795433265149598,0.9996744831110035,-1536.0231773452142
5000,0,0.028836039821645048,0.9999091776223157,0.7722134309170717,0.9746051952172688,-3918.9430980463803
5000,1,0.02638038370996148,0.999742527071848,1.3002077040120712,1.0128962182098062,-3857.131197001881
5000,2,0.03394784562835739,0.99975745838901,1.2619424144917755,0.9741812671595845,-3893.492773042145
5000,3,0.020758453390003262,0.9997942929688373,1.1621699545370803,0.9959769256733455,-3854.0010669997428
5000,4,0.02749093206896417,0.9996336632138206,1.5509262793354912,1.003441097672301,-3848.7353017704995
5000,5,0.020337710161791613,0.9999407021592553,0.6239635438412461,1.0169777307568293,-3823.345598778952
5000,6,0.020880786309906876,0.9998259795702744,1.0689171543527614,0.9907172710706135,-3854.3171762413563
5000,7,0.027177004237161982,0.9999606577009281,0.5082400930460682,1.025482981296271,-3775.0078079200357
