seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
6,0,claude-haiku-4-5,8,3,115000.0,149458.47781413462,34458.47781413462,55.0,44.11203848722435,-10.887961512775647,48.0,53.09119237905023,67.40634336668143,57.13392857142857,63.503294561011785,48.49706029277743,62.632160372369924,71.87214364596608,26.663313436582413,100.0,-0.0,16,3,0.0,1.25,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,0,gpt-4o-mini,8,3,115000.0,149501.76409979066,34501.76409979066,55.0,40.25180626127072,-14.748193738729277,48.0,67.33824315333115,65.4083086147641,57.13392857142857,66.67333024347968,55.741803867475426,64.05855732207277,73.4706724221405,25.624339885427695,100.0,-0.0,16,1,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
7,0,claude-haiku-4-5,8,11,115000.0,146571.1839246104,31571.183924610406,55.0,42.9414297230147,-12.0585702769853,48.0,23.024568173190225,46.39581668798111,57.13392857142857,64.61394583838351,33.1507895436597,69.08798406684114,72.31799998017225,28.9145120832652,100.0,-0.0,16,4,0.375,1.125,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
7,0,gpt-4o-mini,8,11,115000.0,147185.81773199624,32185.81773199624,55.0,40.59058492070996,-14.409415079290042,48.0,34.43844371626706,56.653033374043076,57.13392857142857,66.49970618051707,38.77538484539296,66.45728446519716,73.28042219894387,28.15227997189428,100.0,-0.0,16,2,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
8,0,claude-haiku-4-5,8,10,115000.0,145295.3563144732,30295.356314473203,55.0,45.21897856237212,-9.781021437627878,48.0,38.492962278274604,71.4274609683259,57.13392857142857,62.93598777249856,39.484618830846344,60.194015900943036,71.5278922350333,32.68492341778966,100.0,-0.0,16,3,0.375,0.625,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
8,0,gpt-4o-mini,8,10,115000.0,145596.8066689987,30596.806668998703,55.0,41.8442905031344,-13.155709496865597,48.0,48.5362523377698,66.12247395831537,57.13392857142857,65.68694397428645,44.3116349716527,63.703563884467556,72.92029147536914,31.11460342785407,100.0,-0.0,16,1,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
9,0,claude-haiku-4-5,8,14,115000.0,147435.52021565623,32435.52021565623,55.0,41.42217027324472,-13.577829726755283,48.0,22.99270736933655,86.29655108118739,57.13392857142857,65.56280440162871,29.060600053366727,56.658649183665275,72.61750675935411,33.32589914188456,100.0,-0.0,16,4,0.375,1.125,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
9,0,gpt-4o-mini,8,13,115000.0,148165.7087222691,33165.708722269104,55.0,40.693407734625076,-14.306592265374924,48.0,35.39960340700715,74.40476675093902,57.13392857142857,66.10653329790938,36.69566629391979,59.67999602166621,72.90556672645457,31.604443015299154,100.0,-0.0,16,3,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
10,0,claude-haiku-4-5,8,10,115000.0,144364.52207575546,29364.522075755463,55.0,45.20917603171655,-9.790823968283448,48.0,28.182195911580976,60.64927578182066,57.13392857142857,63.281487759935715,34.5245210756245,64.80873193020997,71.90528651240251,30.45221800661797,100.0,-0.0,16,3,0.3125,1.3125,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
10,0,gpt-4o-mini,8,10,115000.0,144969.7262386028,29969.7262386028,55.0,43.40897689035437,-11.591023109645633,48.0,40.95272494202334,64.71476953416281,57.13392857142857,64.71480410559812,40.84142605926693,63.76758337149911,72.63983677765127,30.13559719115387,100.0,-0.0,16,2,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
