seed,replica,model,dim,w_mean,hdi_lo,hdi_hi
4,0,gpt_4o_mini,anti_pobreza,2.0907817013209864,0.7330039231559827,3.502722934312025
4,0,gpt_4o_mini,anti_deuda,-0.03286307095704041,-1.9429540329081172,1.910379788146823
4,0,gpt_4o_mini,pro_aprobacion,-0.34887724540083154,-1.7482481486327512,1.0467440892358264
4,0,gpt_4o_mini,pro_crecimiento,0.18608419171870244,-1.7311496617291078,2.0826905766323685
4,0,gpt_4o_mini,anti_desviacion_inflacion,-0.01335662135269419,-1.8916292382553026,1.871143595712126
4,0,gpt_4o_mini,pro_confianza,0.0583595289549905,-1.8241444576850823,2.052178663749986
5,0,claude_haiku_4_5,anti_pobreza,1.5484347559964393,0.25714240856318715,2.947041658028155
5,0,claude_haiku_4_5,anti_deuda,0.03224406912670274,-1.9300296250666011,1.8859120112489265
5,0,claude_haiku_4_5,pro_aprobacion,0.11667291247356898,-1.181971450011581,1.507029565301868
5,0,claude_haiku_4_5,pro_crecimiento,0.054001893073832685,-1.8991887088708368,2.0167215702598424
5,0,claude_haiku_4_5,anti_desviacion_inflacion,-0.04357594077825516,-1.9376099249381484,1.8589269662230252
5,0,claude_haiku_4_5,pro_confianza,0.03936625594405934,-1.8026554026859485,1.9598794859558903
5,0,gpt_4o_mini,anti_pobreza,2.2122988278823947,0.8484448235572144,3.5903211282782252
5,0,gpt_4o_mini,anti_deuda,-0.05329201626166088,-2.0262186201908023,1.8283561661827172
5,0,gpt_4o_mini,pro_aprobacion,0.36490781155371116,-1.1117066338680126,1.7854067471882562
5,0,gpt_4o_mini,pro_crecimiento,0.06657775745331018,-1.7666192491014212,2.0388905770527366
5,0,gpt_4o_mini,anti_desviacion_inflacion,-0.04392420255828646,-1.877990464364782,1.8762992028479346
5,0,gpt_4o_mini,pro_confianza,0.007433722045301947,-1.9239222006196375,1.99897526342488
6,0,claude_haiku_4_5,anti_pobreza,0.6305920246372501,-0.691777380511061,2.105432900989683
6,0,claude_haiku_4_5,anti_deuda,-0.01128114490209538,-2.022583406788325,1.8588645735652463
6,0,claude_haiku_4_5,pro_aprobacion,-0.13043801373638006,-1.3893411814605707,1.2943364478779262
6,0,claude_haiku_4_5,pro_crecimiento,0.032611177085245587,-1.923059878452268,1.8513907635614901
6,0,claude_haiku_4_5,anti_desviacion_inflacion,0.09644128521262026,-1.7982435463776745,1.959306954555796
6,0,claude_haiku_4_5,pro_confianza,0.004728951748817551,-1.9459880001572585,1.8986086464746015
6,0,gpt_4o_mini,anti_pobreza,1.943603260290921,0.5715105583004846,3.3560569210116866
6,0,gpt_4o_mini,anti_deuda,-0.009459036614930647,-1.798122517707057,2.0928163134971323
6,0,gpt_4o_mini,pro_aprobacion,-0.39757339249132995,-1.7905953593062107,1.0616269951755197
6,0,gpt_4o_mini,pro_crecimiento,0.2910665680864807,-1.6725970446931349,2.107021287573554
6,0,gpt_4o_mini,anti_desviacion_inflacion,-0.02961392105430067,-1.8498469429882891,1.9776099549114745
6,0,gpt_4o_mini,pro_confianza,0.06988055103587187,-1.8321341704298477,1.9972238463230465
7,0,claude_haiku_4_5,anti_pobreza,0.9267766366832817,-0.33451902635538827,2.366763426544843
7,0,claude_haiku_4_5,anti_deuda,0.03709292216274709,-1.9190512635335573,1.939313592140509
7,0,claude_haiku_4_5,pro_aprobacion,0.24901762814895428,-1.1052435475443816,1.625503552987639
7,0,claude_haiku_4_5,pro_crecimiento,-0.040469963575971,-1.8954916919447604,1.952248670910543
7,0,claude_haiku_4_5,anti_desviacion_inflacion,0.1727239404810515,-1.7389161072533952,2.058602582871381
7,0,claude_haiku_4_5,pro_confianza,-0.009195734318751802,-1.943910216250735,1.9215674253289485
7,0,gpt_4o_mini,anti_pobreza,1.9187419677252775,0.6003257237586691,3.299979103614586
7,0,gpt_4o_mini,anti_deuda,0.07141419694069613,-1.8848396714392612,1.9808064804193617
7,0,gpt_4o_mini,pro_aprobacion,0.23458155134830064,-1.1697417742142036,1.6895037133522306
7,0,gpt_4o_mini,pro_crecimiento,0.20920629866302287,-1.619738699822704,2.146176019765297
7,0,gpt_4o_mini,anti_desviacion_inflacion,0.018326414569023876,-1.9051917361378767,1.9364830922119811
7,0,gpt_4o_mini,pro_confianza,0.06005244293352527,-1.8780764757444623,2.060602330916636
8,0,claude_haiku_4_5,anti_pobreza,1.6189535324323698,0.21432922892912898,2.936583195097643
8,0,claude_haiku_4_5,anti_deuda,0.047812127416282456,-1.924993189733278,1.9872481244523663
8,0,claude_haiku_4_5,pro_aprobacion,-0.0202574072757472,-1.3776956195871264,1.3515077704486884
8,0,claude_haiku_4_5,pro_crecimiento,0.1143079690084727,-1.823997908114915,2.0653360217612033
8,0,claude_haiku_4_5,anti_desviacion_inflacion,0.10091036698615265,-1.8129922435476626,2.017413101741485
8,0,claude_haiku_4_5,pro_confianza,0.028817757164065743,-2.02017143853248,1.874464372711277
8,0,gpt_4o_mini,anti_pobreza,1.7716582511942474,0.3706870299764546,3.061508661391685
8,0,gpt_4o_mini,anti_deuda,0.044063052983258875,-1.8548233973730424,1.9875137305068775
8,0,gpt_4o_mini,pro_aprobacion,-0.4264259300855304,-1.74129245326924,1.0396504283855659
8,0,gpt_4o_mini,pro_crecimiento,-0.036849509046693985,-1.8664899442579785,1.8568851833379445
8,0,gpt_4o_mini,anti_desviacion_inflacion,-0.06222407902033878,-1.9202956562697657,1.8360888757860778
8,0,gpt_4o_mini,pro_confianza,0.001253491570956055,-1.82210832701185,1.9978125729281015
9,0,claude_haiku_4_5,anti_pobreza,0.8543628535209149,-0.5942054631460852,2.194642936417875
9,0,claude_haiku_4_5,anti_deuda,0.022883365612508918,-1.918339924037883,1.9011731068576252
9,0,claude_haiku_4_5,pro_aprobacion,-0.0375306292956145,-1.3319459967702594,1.3953992290582167
9,0,claude_haiku_4_5,pro_crecimiento,-0.1386768184773468,-2.025523614430201,1.7952733547939501
9,0,claude_haiku_4_5,anti_desviacion_inflacion,0.11401383801069839,-1.8039268052795,2.0392586362929808
9,0,claude_haiku_4_5,pro_confianza,-0.04227311411532742,-1.9976644745100562,1.9486980746134246
9,0,gpt_4o_mini,anti_pobreza,1.5425182619623832,0.16154438976273677,2.90983975109444
9,0,gpt_4o_mini,anti_deuda,0.11110893247251916,-1.8223510963300835,1.9955129292220168
9,0,gpt_4o_mini,pro_aprobacion,-0.1587916918859616,-1.4769004009014306,1.2622605694337579
