seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
6,0,claude-haiku-4-5,8,3,115000.0,148699.26979239812,33699.26979239812,55.0,44.2961175186074,-10.703882481392597,48.0,54.67468326519395,38.899418087391176,57.13392857142857,63.40895405742797,49.21919317266745,76.3919644883678,71.81008492043118,27.60073590827313,100.0,-0.0,16,1,0.625,1.125,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,0,gpt-4o-mini,8,3,115000.0,149643.50143715143,34643.501437151426,55.0,41.317500792600455,-13.682499207399545,48.0,66.27938236753445,68.05930567374847,57.13392857142857,65.786685605697,54.3037084068016,62.44879755015077,73.02650567424536,26.30767651891977,100.0,-0.0,16,6,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
7,0,claude-haiku-4-5,8,11,115000.0,146463.57708711977,31463.577087119775,55.0,44.068142305922336,-10.931857694077664,48.0,18.92282109613817,36.36105193605503,57.13392857142857,63.69602944916716,32.006662485674184,77.07765763377688,71.85333600490435,29.135381142682995,100.0,-0.0,16,1,0.5,1.625,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
7,0,gpt-4o-mini,8,11,115000.0,147325.65580000903,32325.65580000903,55.0,41.65627412122827,-13.343725878771728,48.0,32.9504992132352,58.83442548055016,57.13392857142857,65.61306427477525,38.02082689390617,65.44558020944521,72.83627996728866,28.908074983700637,100.0,-0.0,16,1,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
8,0,claude-haiku-4-5,8,10,115000.0,144556.82081264257,29556.820812642574,55.0,43.202899507813456,-11.797100492186544,48.0,39.32356863750404,69.63007575155954,57.13392857142857,64.65018066891224,37.69180993708403,60.09499741125431,72.37722203982224,32.652034864213455,100.0,-0.0,16,2,0.5625,0.8125,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
8,0,gpt-4o-mini,8,10,115000.0,145624.17435536554,30624.17435536554,55.0,42.38747673591789,-12.612523264082107,48.0,47.14194046872161,66.8989733421528,57.13392857142857,65.23832293474682,43.275914107852984,63.007579298104275,72.69472468670682,31.33549292004207,100.0,-0.0,16,3,0.0,0.125,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
9,0,claude-haiku-4-5,8,14,115000.0,148108.0110792212,33108.01107922121,55.0,42.90766161106787,-12.092338388932127,48.0,26.671314986258515,97.21145534341741,57.13392857142857,64.29077580528008,31.775519064773054,55.76134539612383,71.98939188795201,33.54095957181004,100.0,-0.0,16,5,0.125,0.5,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
9,0,gpt-4o-mini,8,14,115000.0,148236.7248310571,33236.7248310571,55.0,41.226254026417955,-13.773745973582045,48.0,32.53993007427597,67.46556504082739,57.13392857142857,65.66321147812744,34.26207408012032,63.61286554888952,72.68354890446395,33.04035764240162,100.0,-0.0,16,4,0.0,0.0,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
10,0,claude-haiku-4-5,8,10,115000.0,143850.18662663773,28850.186626637733,55.0,44.23761922118395,-10.762380778816052,48.0,33.72576792286677,67.92430764841815,57.13392857142857,64.11988681580988,36.34117553211081,60.80704434291047,72.31750793452608,30.90314794124614,100.0,-0.0,16,2,0.625,0.6875,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
10,0,gpt-4o-mini,8,10,115000.0,144969.7262386028,29969.7262386028,55.0,43.40897689035437,-11.591023109645633,48.0,40.95272494202334,67.21476953416281,57.13392857142857,64.71480410559812,40.00336810926693,61.2533442822908,72.63983677765127,30.13559719115387,100.0,-0.0,16,4,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
