seed,replica,model,dim,w_mean,hdi_lo,hdi_hi
3,0,claude_haiku_4_5,anti_desviacion_inflacion,0.06796738005758708,-1.806717932330485,1.931247285082011
3,0,claude_haiku_4_5,pro_confianza,-0.05112227983631831,-2.034772782799985,1.9029171019745987
3,0,gpt_4o_mini,anti_pobreza,2.584819446256923,1.1229624452318316,4.029105389022809
3,0,gpt_4o_mini,anti_deuda,-0.030744349226140156,-2.1107823592941766,1.8494843200524063
3,0,gpt_4o_mini,pro_aprobacion,-0.08241298472390664,-1.3749356546269718,1.0967877452429597
3,0,gpt_4o_mini,pro_crecimiento,0.045564901492078334,-1.8738805446121671,1.9518694480169945
3,0,gpt_4o_mini,anti_desviacion_inflacion,0.0187827741791907,-1.876207218892386,1.974814730072539
3,0,gpt_4o_mini,pro_confianza,0.014293955052514634,-1.9923253582715301,1.8954989130304825
4,0,claude_haiku_4_5,anti_pobreza,0.9124972530311123,-0.4775302490055011,2.3801309026077466
4,0,claude_haiku_4_5,anti_deuda,0.04505427091076498,-1.8901719380142006,1.9137637571765025
4,0,claude_haiku_4_5,pro_aprobacion,-0.1639057395025733,-1.4822203816452928,0.942999438450675
4,0,claude_haiku_4_5,pro_crecimiento,-0.1447160307890978,-2.0340163200940196,1.665809684770386
4,0,claude_haiku_4_5,anti_desviacion_inflacion,0.1229958149116737,-1.7669036073118827,1.9893133987075289
4,0,claude_haiku_4_5,pro_confianza,-0.042290833372573125,-2.052376282803717,1.9278414575211265
4,0,gpt_4o_mini,anti_pobreza,2.582750703398237,1.1489440662898447,4.077550441844673
4,0,gpt_4o_mini,anti_deuda,-0.03210631053799786,-1.986733145834142,1.9513037732095
4,0,gpt_4o_mini,pro_aprobacion,-0.047196276640952446,-1.3216356826690023,1.147980549331674
4,0,gpt_4o_mini,pro_crecimiento,0.047523483509647343,-1.7662765004333478,2.119256990840925
4,0,gpt_4o_mini,anti_desviacion_inflacion,0.03165992813769792,-1.8166397894675617,1.8962542395292619
4,0,gpt_4o_mini,pro_confianza,0.012539725439897408,-1.870363812115814,2.078344592304665
5,0,claude_haiku_4_5,anti_pobreza,0.361494260278371,-1.164085904060496,1.7427980939658294
5,0,claude_haiku_4_5,anti_deuda,0.06674756269455155,-1.841261374836704,2.025793584915945
5,0,claude_haiku_4_5,pro_aprobacion,0.01994598616401606,-1.160274734494671,1.2588741050427095
5,0,claude_haiku_4_5,pro_crecimiento,-0.2412842752076394,-1.9633471553836597,1.657665186231891
5,0,claude_haiku_4_5,anti_desviacion_inflacion,0.12161752736517041,-1.7516528963337625,1.9802031162790654
5,0,claude_haiku_4_5,pro_confianza,-0.062497131638922516,-1.899488040566867,1.9275120344243157
5,0,gpt_4o_mini,anti_pobreza,2.5954161309075823,1.1445055100280954,3.9818598831523055
5,0,gpt_4o_mini,anti_deuda,-0.02203387708549573,-1.8217481875270736,1.9758266920380947
5,0,gpt_4o_mini,pro_aprobacion,-0.06784145295301781,-1.3097442814444957,1.1897728998923707
5,0,gpt_4o_mini,pro_crecimiento,0.029772278831437023,-1.8499761497950309,1.900976331840482
5,0,gpt_4o_mini,anti_desviacion_inflacion,-0.01087868863478781,-1.7967124139319388,1.970941441049648
5,0,gpt_4o_mini,pro_confianza,0.017663744725440977,-2.1032045408010087,1.8677496935564615
6,0,claude_haiku_4_5,anti_pobreza,0.31844809377442534,-1.280051536215978,1.6736732019051186
6,0,claude_haiku_4_5,anti_deuda,0.05855571660011207,-1.893234726508191,1.9324460909104038
6,0,claude_haiku_4_5,pro_aprobacion,-0.24367125992497587,-1.4510425622220133,1.0000132562061537
6,0,claude_haiku_4_5,pro_crecimiento,-0.24350373597361513,-2.1269314789128386,1.5735622755614664
6,0,claude_haiku_4_5,anti_desviacion_inflacion,0.16731965958986564,-1.7660765749523866,2.005794502856054
6,0,claude_haiku_4_5,pro_confianza,-0.053308184600989295,-1.955909096291072,1.8484920133595542
6,0,gpt_4o_mini,anti_pobreza,2.224872513091417,0.7711349397832136,3.6348880107673645
6,0,gpt_4o_mini,anti_deuda,-0.0496621236089386,-1.8998499470178707,1.9274062684864783
6,0,gpt_4o_mini,pro_aprobacion,-0.27295691599532557,-1.4908082491590517,1.078479136999765
6,0,gpt_4o_mini,pro_crecimiento,-0.06571090296618881,-2.002192915709626,1.7283770171681416
6,0,gpt_4o_mini,anti_desviacion_inflacion,0.1332661660073765,-1.745500667492754,2.037815249592607
6,0,gpt_4o_mini,pro_confianza,-0.015468384008361442,-1.9723518340613315,1.9417548401096698
7,0,claude_haiku_4_5,anti_pobreza,1.028207841937323,-0.5214641392723633,2.349921239488559
7,0,claude_haiku_4_5,anti_deuda,-0.022292473187657653,-1.9964691913458248,1.8950119858625925
7,0,claude_haiku_4_5,pro_aprobacion,-0.38187284671987703,-1.7203330154085812,0.7576994121879569
7,0,claude_haiku_4_5,pro_crecimiento,-0.1452830889596048,-1.9316430511055211,1.8602217524888514
7,0,claude_haiku_4_5,anti_desviacion_inflacion,0.13720294791311738,-1.7464668921062543,2.0522946872116368
7,0,claude_haiku_4_5,pro_confianza,-0.05582277127022848,-1.8968154331089042,1.932034377036131
7,0,gpt_4o_mini,anti_pobreza,2.269922146164521,0.8298148035681948,3.74844966910766
7,0,gpt_4o_mini,anti_deuda,0.03515556111255653,-2.0472021981435353,1.8188529742972703
7,0,gpt_4o_mini,pro_aprobacion,-0.17447072093597826,-1.3378198107197474,1.174180110246263
7,0,gpt_4o_mini,pro_crecimiento,-0.04480537368079736,-1.8750061035713046,1.8912006502131515
7,0,gpt_4o_mini,anti_desviacion_inflacion,0.005319998995250376,-1.925872985195894,1.9439503800921991
7,0,gpt_4o_mini,pro_confianza,-0.008490757322529243,-1.912402131448515,1.973860146261957
